"","date","month","year","sam_et_m3H2O","typha_et_m3H2O","sacstab_et_m3H2O","scal_et_m3H2O","allspp_et_m3H2O","monthly_frw1_outflow_m3","monthly_frw1_inflow_m3","monthly_frw1_deficit_m3","monthly_precip_mm","monthly_precip_m3","monthly_evap_m3"
"50",2015-08-01,8,2015,0,65159.6690697821,21947.5907413089,13065.5089781214,100172.768789212,3617138.1,3789226.83892499,172088.73892499,19.5,4095,109098.998602538
"51",2015-09-01,9,2015,0,54223.2655133122,16439.5248189841,13593.7665363736,84256.5568686698,3978817.8,4011689.15326674,32871.3532667424,32.8,6888,84748.1136305639
"52",2015-10-01,10,2015,0,48870.0906399852,11707.7071718137,16929.4283099887,77507.2261217876,4033659.1,4261639.48566154,227980.385661535,143.5,30135,74839.2017449575
"53",2015-11-01,11,2015,0,21463.4713359642,3860.02692001249,9576.75855809558,34900.2568140722,5283601.1,5427547.59396542,143946.493965418,19,3990,66613.9295589138
"54",2015-12-01,12,2015,0,6447.10307234759,853.244665962822,3549.29836333289,10732.5248767277,3947322.9,3969097.53278789,21774.6327878853,9.6,2016,59121.7598556641
"55",2016-01-01,1,2016,0,4817.4521142436,894.664263728672,1975.25346840614,7687.36984637841,4805757.9,4486486.13427197,-319271.765728028,69.6,14616,59013.9784538271
"56",2016-02-01,2,2016,0,10165.555885674,2664.44072791623,2657.51471750278,15487.511331093,4487890.6,4361483.88078985,-126406.719210145,17.3,3633,78508.1156883464
"57",2016-03-01,3,2016,0,22535.3808862728,7007.99025841254,6330.7152894219,35874.0864341073,3777909.9,3788178.36736784,10268.4673678418,0,0,105402.025928512
"58",2016-04-01,4,2016,0,41579.7669726756,14329.5674491459,13523.1676519575,69432.502073779,5150913.2,5310785.39508164,159872.195081642,19.3,4053,110812.837404433
"59",2016-05-01,5,2016,0,79585.971463088,19131.3122530539,21486.3852511223,120203.668967264,3681833.4,3794626.56915943,112793.169159429,33.3,6993,115556.734347569
"60",2016-06-01,6,2016,0,144475.271661956,16750.0458820686,28920.8470135798,190146.164557604,3343159,3469211.94247013,126052.94247013,0,0,113712.362237459
"61",2016-07-01,7,2016,0,160906.234356142,14707.514609543,27503.5770501718,203117.326015857,3983214.2,4374204.77066204,390990.570662044,36.3,7623,123771.016607301
"62",2016-08-01,8,2016,0,122239.062847144,17477.8219309,18252.9976892649,157969.882467309,4750420.11,5016983.20303995,266563.093039953,93.8,19698,104723.609061083
"63",2016-09-01,9,2016,0,85579.8741379964,16489.2738364107,12401.5110063948,114470.658980802,4591186.292,4823531.94892914,232345.656929143,47.2,9912,91432.076470574
"64",2016-10-01,10,2016,0,67194.165994616,15367.7903394119,11730.1258852657,94292.0822192936,4849688.927,5126711.55533216,277022.628332156,1.3,273,78028.698774928
"65",2016-11-01,11,2016,0,34865.1872424989,7557.35712952176,6822.3550657226,49244.8994377432,4556950.085,4837603.74030152,280653.655301523,51.6,10836,67524.0579212491
"66",2016-12-01,12,2016,0,9657.75186228381,1006.71575109959,1592.83853124146,12254.522901397,4754827.88,4703407.4658369,-51420.4141630995,52.5,11025,52996.0751598716
"67",2017-01-01,1,2017,0,4243.69739381708,60.1299680001435,786.61432365192,5090.44168546914,5481860.169,6092350.67526628,610490.506266275,47.92,10063.2,54873.4369174913
"68",2017-02-01,2,2017,0,6211.20950498931,377.97275433865,2542.68806201435,9131.87032134231,3203140.482,3106551.97121835,-96588.5107816508,48.28,10138.8,64069.2924273335
"69",2017-03-01,3,2017,0,13242.1264179819,1499.74896178431,5098.24576646711,19840.1211462333,4830696.858,4603777.38413533,-226919.473864668,3.33,699.3,102958.540633823
"70",2017-04-01,4,2017,0,21323.408287789,2839.45081565953,5242.13763099276,29404.9967344413,5313949.904,6026890.19785733,712940.29385733,0,0,115253.111652772
"71",2017-05-01,5,2017,0,54069.3340120699,6831.31907551006,13593.7422319146,74494.3953194945,3822113.428,3938462.44155368,116349.013553682,4.07,854.7,117681.263095132
"72",2017-06-01,6,2017,0,121028.392444168,14607.2117028992,33110.559158942,168746.163306009,3200823.276,3296008.1885802,95184.9125801954,0,0,120180.291800757
"73",2017-07-01,7,2017,0,145814.800230153,18966.0119635786,37901.284194711,202682.096388442,3513446.732,3551818.47250123,38371.7405012272,144.03,30246.3,103467.194258576
"74",2017-08-01,8,2017,0,120599.678494781,19422.281604467,24790.937407411,164812.897506659,4607336.998,4124868.054474,-482468.943526003,37.64,7904.4,93020.0642000019
"75",2017-09-01,9,2017,0,76233.12748731,14215.2191935369,12132.188672621,102580.535353468,4349284.615,4025284.02265894,-324000.592341063,0,0,87208.3229050957
"76",2017-10-01,10,2017,0,35870.688648825,7861.50552084207,3553.88058839722,47286.0747580643,6365508.523,8170163.81393926,1804655.29093926,0,0,73675.9677344432
"77",2017-11-01,11,2017,0,13639.0341711486,3242.04969827093,0,16881.0838694195,5559591.932,5247652.60119237,-311939.330807628,0,0,51081.2963432454
"78",2017-12-01,12,2017,0,4594.38977362776,640.846411045213,444.16430080563,5671.86818056011,4257117.121,4189411.72463812,-67705.3963618825,0.25,52.5,53229.4355452587
"79",2018-01-01,1,2018,0,3275.85657404538,150.928839039348,801.660779994846,4228.44619307957,4816156.902,4873308.88912461,57151.9871246099,15.24,3200.4,61649.1066878139
"80",2018-02-01,2,2018,0,3250.99768477986,129.214333143787,743.936663645185,4124.14868156883,3981606.482,4135690.15028029,154083.668280288,12.69,2664.9,65113.8804549491
"81",2018-03-01,3,2018,0,11194.0532011058,168.018117539019,2649.12636928605,14011.1976879309,3822758.107,3973844.63127808,151086.524278082,0.25,52.5,94159.5129259642
"82",2018-04-01,4,2018,0,29320.2527908542,92.3235148733564,7042.9150751931,36455.4913809207,4369924.197,4803556.10696075,433631.909960747,0,0,106614.568716145
"83",2018-05-01,5,2018,0,49359.2322661479,8799.55999002312,9428.02711865851,67586.8193748295,2620547.367,2887166.65299053,266619.285990529,0,0,113346.806423373
"84",2018-06-01,6,2018,0,65507.5915838837,29167.01664035,7817.50141061032,102492.109634844,2832730.517,3004400.64124937,171670.124249372,2.03,426.3,108999.843439809
"85",2018-07-01,7,2018,0,82802.6552264896,54290.5332199325,5441.09183110739,142534.280277529,3273679.962,3448716.26945071,175036.307450713,11.94,2507.4,102789.986987473
"86",2018-08-01,8,2018,NA,NA,NA,NA,NA,3234108.193,3389030.046885,154921.853885001,18.53,3891.3,96733.9027019077
"87",2018-09-01,9,2018,NA,NA,NA,NA,NA,3051391.535,3224174.96739782,172783.432397822,0.76,159.6,81970.8518955046
"88",2018-10-01,10,2018,NA,NA,NA,NA,NA,135780.919,128788.620769307,-6992.2982306927,2.03,426.3,1619.91855596574
