,date,transect,quadrat,water depth,notes
425,9/24/12,M_1_W,48,,
426,9/26/12,C_2,7,,
427,9/26/12,C_2,12,,
428,9/26/12,C_2,23,,
429,9/26/12,C_2,35,,
430,9/26/12,C_2,49,,
431,9/26/12,M_2,11,,
432,9/26/12,M_2,20,,
433,9/26/12,M_2,25,,
434,9/26/12,M_2,51,,
435,9/26/12,M_2,55,,
436,9/26/12,M_3,25,,
437,9/26/12,M_3,32,,
438,9/26/12,M_3,35,,
439,9/26/12,M_3,43,,
440,9/26/12,M_3,56,,
441,11/9/12,C_1,22,,
442,11/9/12,C_1,28,,
443,11/9/12,C_2,19,,
444,11/9/12,C_2,34,,
445,11/9/12,C_2,37,,
446,11/9/12,C_2,50,,
447,11/9/12,C_2,52,,
448,11/9/12,M_1_E,3,,
449,11/9/12,M_1_E,18,,
450,11/9/12,M_1_E,21,,
451,11/9/12,M_1_E,45,,
452,11/9/12,M_1_E,54,,
453,11/9/12,M_1_W,35,,
454,11/9/12,M_1_W,54,,
455,11/9/12,M_2,42,,
456,11/9/12,M_2,59,,
457,11/9/12,M_3,3,,
458,11/9/12,M_3,20,,
459,11/9/12,M_3,29,,
460,11/9/12,M_3,37,,
461,11/9/12,M_3,49,,
462,11/9/12,M_4_S,1,,
463,11/9/12,M_4_S,18,,
464,11/9/12,M_4_S,20,,
465,11/9/12,M_4_S,27,,
466,11/9/12,M_4_S,36,,
467,11/14/12,C_1,16,,
468,11/14/12,C_1,42,,
469,11/14/12,C_1,58,,
470,11/14/12,M_1_W,14,,
471,11/14/12,M_1_W,15,,
472,11/14/12,M_1_W,24,,
473,11/14/12,M_2,3,,
474,11/14/12,M_2,16,,
475,11/14/12,M_2,19,,
476,11/16/12,M_4_C,3,,
477,11/16/12,M_4_C,19,,
478,11/16/12,M_4_C,39,,
479,11/16/12,M_4_C,49,,
480,11/16/12,M_4_C,54,,
481,11/16/12,M_4_N,20,,
482,11/16/12,M_4_N,29,,
483,11/16/12,M_4_N,35,,
484,11/16/12,M_4_N,39,,
485,11/16/12,M_4_N,59,,
486,11/16/12,M_5,9,,
487,11/16/12,M_5,19,,
488,11/16/12,M_5,23,,
489,11/16/12,M_5,35,,
490,11/16/12,M_5,52,,
491,1/15/13,M_1_E,2,,
492,1/15/13,M_1_E,8,,
493,1/15/13,M_1_E,31,,
494,1/15/13,M_1_E,42,,
495,1/15/13,M_1_E,47,,
496,1/22/13,M_3,11,,
497,1/22/13,M_3,18,,
498,1/22/13,M_3,40,,
499,1/22/13,M_3,54,,
500,1/22/13,M_3,56,,
501,1/22/13,M_4_C,24,,
502,1/22/13,M_4_C,27,,
503,1/22/13,M_4_C,34,,
504,1/22/13,M_4_C,36,,
505,1/22/13,M_4_C,55,,
506,1/22/13,M_4_N,22,,
507,1/22/13,M_4_N,26,,
508,1/22/13,M_4_N,30,,
509,1/22/13,M_4_N,43,,
510,1/22/13,M_4_N,45,,
511,1/22/13,M_4_S,1,,
512,1/22/13,M_4_S,17,,
513,1/22/13,M_4_S,19,,
514,1/22/13,M_4_S,24,,
515,1/22/13,M_4_S,28,,
516,1/22/13,M_5,7,,
517,1/22/13,M_5,24,,
518,1/22/13,M_5,27,,
519,1/22/13,M_5,45,,
520,1/22/13,M_5,55,,
521,2/1/13,C_1,2,,
522,2/1/13,C_1,4,,
523,2/1/13,C_1,5,,
524,2/1/13,C_1,32,,
525,2/1/13,C_2,1,,
526,2/1/13,C_2,11,,
527,2/1/13,C_2,27,,
528,2/1/13,C_2,29,,
529,2/1/13,C_2,31,,
530,2/1/13,C_2,32,,
531,2/1/13,M_1_W,48,,
532,2/1/13,M_2,4,,
533,2/1/13,M_2,29,,
534,2/1/13,M_2,41,,
535,2/1/13,M_2,47,,
536,3/8/13,M_1_E,18,,
537,3/8/13,M_1_E,19,,
538,3/8/13,M_1_E,26,,
539,3/8/13,M_1_E,28,,
540,3/8/13,M_1_E,43,,
541,3/8/13,M_4_S,20,,
542,3/8/13,M_4_S,28,,
543,3/8/13,M_4_S,44,,
544,3/8/13,M_4_S,51,,
545,3/8/13,M_4_S,53,,
546,3/8/13,M_4_S,57,,
547,3/8/13,M_5,13,,
548,3/8/13,M_5,22,,
549,3/8/13,M_5,31,,
550,3/8/13,M_5,48,,
551,3/8/13,M_5,50,,
552,3/21/13,C_2,6,,
553,3/21/13,C_2,9,,
554,3/21/13,C_2,29,,
555,3/21/13,C_2,38,,
556,3/21/13,M_3,40,,
557,3/21/13,M_3,45,,
558,3/21/13,M_3,49,,
559,3/21/13,M_3,52,,
560,3/21/13,M_4_C,14,,
561,3/21/13,M_4_C,19,,
562,3/21/13,M_4_C,31,,
563,3/21/13,M_4_C,39,,
564,3/21/13,M_4_C,48,,
565,3/21/13,M_4_N,2,,
566,3/21/13,M_4_N,11,,
567,3/21/13,M_4_N,20,,
568,3/21/13,M_4_N,29,,
569,3/21/13,M_4_N,46,,
570,3/22/13,C_1,1,,
571,3/22/13,C_1,9,,
572,3/22/13,C_1,15,,
573,3/22/13,C_1,37,,
574,3/22/13,C_1,57,,
575,3/22/13,M_1_W,6,,
576,3/22/13,M_1_W,8,,
577,3/22/13,M_1_W,9,,
578,3/22/13,M_1_W,29,,
579,3/22/13,M_1_W,38,,
580,3/22/13,M_2,1,,
581,3/22/13,M_2,23,,
582,3/22/13,M_2,33,,
583,3/22/13,M_2,53,,
584,3/22/13,M_2,54,,
585,7/3/13,M_1_E,18,,
586,7/3/13,M_1_E,38,,
587,7/3/13,M_1_E,45,,
588,7/3/13,M_1_E,51,,
589,7/3/13,M_1_E,52,,
590,7/3/13,M_4_S,7,,
591,7/3/13,M_4_S,25,,
592,7/3/13,M_4_S,39,,
593,7/3/13,M_4_S,45,,
594,7/3/13,M_4_S,54,,
595,7/12/13,C_1,39,,
596,7/12/13,C_1,42,,
597,7/12/13,C_1,44,,
598,7/12/13,C_1,46,,
599,7/12/13,C_1,49,,
600,7/12/13,M_1_W,28,,
601,7/12/13,M_1_W,45,,
602,7/12/13,M_1_W,47,,
603,7/12/13,M_1_W,53,,
604,7/12/13,M_1_W,55,,
605,7/16/13,C_2,3,,
606,7/16/13,C_2,21,,
607,7/16/13,C_2,45,,
608,7/16/13,C_2,46,,
609,7/16/13,C_2,55,,
610,7/16/13,M_2,8,,
611,7/16/13,M_2,12,,
612,7/16/13,M_2,24,,
613,7/16/13,M_2,43,,
614,7/16/13,M_2,47,,
615,7/19/13,M_3,4,,
616,7/19/13,M_3,6,,
617,7/19/13,M_3,22,,
618,7/19/13,M_3,28,,
619,7/19/13,M_3,33,,
620,7/19/13,M_4_C,1,,
621,7/19/13,M_4_C,8,,
622,7/19/13,M_4_C,19,,
623,7/19/13,M_4_C,39,,
624,7/19/13,M_4_C,45,,
625,7/19/13,M_4_C,53,,
626,7/19/13,M_4_N,1,,
627,7/19/13,M_4_N,12,,
628,7/19/13,M_4_N,24,,
629,7/19/13,M_4_N,41,,
630,7/19/13,M_4_N,46,,
631,7/19/13,M_5,2,,
632,7/19/13,M_5,3,,
633,7/19/13,M_5,14,,
634,7/19/13,M_5,15,,
635,7/19/13,M_5,34,,
636,9/4/13,M_1_E,4,,
637,9/4/13,M_1_E,9,,
638,9/4/13,M_1_E,22,,
639,9/4/13,M_1_E,31,,
640,9/4/13,M_1_E,32,,
641,9/6/13,C_2,11,,
642,9/6/13,C_2,30,,
643,9/6/13,C_2,42,,
644,9/6/13,C_2,48,,
645,9/6/13,C_2,53,,
646,9/6/13,M_3,3,,
647,9/6/13,M_3,29,,
648,9/6/13,M_3,45,,
649,9/6/13,M_3,46,,
650,9/6/13,M_3,53,,
651,9/6/13,M_4_S,20,,
652,9/6/13,M_4_S,22,,
653,9/6/13,M_4_S,26,,
654,9/6/13,M_4_S,28,,
655,9/6/13,M_4_S,42,,
656,9/10/13,C_1,21,,
657,9/10/13,C_1,30,,
658,9/10/13,C_1,38,,
659,9/10/13,C_1,42,,
660,9/10/13,C_1,49,,
661,9/10/13,M_1_W,11,,
662,9/10/13,M_1_W,30,,
663,9/10/13,M_1_W,42,,
664,9/10/13,M_1_W,48,,
665,9/10/13,M_1_W,53,,
666,9/10/13,M_2,1,,
667,9/10/13,M_2,2,,
668,9/10/13,M_2,11,,
669,9/10/13,M_2,35,,
670,9/10/13,M_2,43,,
671,9/17/13,M_4_C,7,,
672,9/17/13,M_4_C,9,,
673,9/17/13,M_4_C,18,,
674,9/17/13,M_4_C,19,,
675,9/17/13,M_4_C,26,,
676,9/17/13,M_4_C,33,,
677,9/17/13,M_4_N,7,,
678,9/17/13,M_4_N,17,,
679,9/17/13,M_4_N,19,,
680,9/17/13,M_4_N,23,,
681,9/17/13,M_4_N,51,,
682,9/17/13,M_5,8,,
683,9/17/13,M_5,23,,
684,9/17/13,M_5,30,,
685,9/17/13,M_5,32,,
686,9/17/13,M_5,54,,
687,11/4/13,C_1,8,,
688,11/4/13,C_1,36,,
689,11/4/13,C_1,37,,
690,11/4/13,C_1,48,,
691,11/4/13,C_1,53,,
692,11/4/13,M_1_W,2,,
693,11/4/13,M_1_W,21,,
694,11/4/13,M_1_W,43,,
695,11/4/13,M_1_W,49,,
696,11/4/13,M_1_W,50,,
697,11/4/13,M_2,1,,
698,11/4/13,M_2,2,,
699,11/4/13,M_2,10,,
700,11/4/13,M_2,26,,
701,11/4/13,M_2,32,,
702,11/13/13,C_2,4,,
703,11/13/13,C_2,6,,
704,11/13/13,C_2,8,,
705,11/13/13,C_2,28,,
706,11/13/13,C_2,30,,
707,11/13/13,M_3,8,,
708,11/13/13,M_3,10,,
709,11/13/13,M_3,28,,
710,11/13/13,M_3,44,,
711,11/13/13,M_3,46,,
712,11/13/13,M_4_S,5,,
713,11/13/13,M_4_S,9,,
714,11/13/13,M_4_S,14,,
715,11/13/13,M_4_S,16,,
716,11/13/13,M_4_S,31,,
717,11/18/13,M_4_C,4,,
718,11/18/13,M_4_C,11,,
719,11/18/13,M_4_C,24,,
720,11/18/13,M_4_C,25,,
721,11/18/13,M_4_C,39,,
722,11/18/13,M_4_N,5,,
723,11/18/13,M_4_N,9,,
724,11/18/13,M_4_N,14,,
725,11/18/13,M_4_N,16,,
726,11/18/13,M_4_N,31,,
727,11/25/13,M_1_E,23,,
728,11/25/13,M_1_E,36,,
729,11/25/13,M_1_E,39,,
730,11/25/13,M_1_E,42,,
731,11/25/13,M_1_E,50,,
732,11/25/13,M_5,30,,
733,11/25/13,M_5,38,,
734,11/25/13,M_5,43,,
735,11/25/13,M_5,45,,
736,11/25/13,M_5,46,,
737,1/14/14,C_2,17,,
738,1/14/14,C_2,20,,
739,1/14/14,M_1_W,14,,
740,1/14/14,M_1_W,18,,
741,1/14/14,M_1_W,43,,
742,1/14/14,M_1_W,49,,
743,1/14/14,M_1_W,55,,
744,1/14/14,M_2,28,,
745,1/14/14,M_2,52,,
746,1/14/14,M_4_S,17,,
747,1/14/14,M_5,8,,
748,1/14/14,M_5,22,,
749,1/14/14,M_5,26,,
750,1/14/14,M_5,27,,
751,1/14/14,M_5,30,,
752,1/16/14,C_1,9,,
753,1/16/14,C_1,15,,
754,1/16/14,C_1,39,,
755,1/16/14,C_1,40,,
756,1/16/14,C_1,54,,
757,1/22/14,C_2,5,,
758,1/22/14,C_2,8,,
759,1/22/14,C_2,13,,
760,1/22/14,M_1_E,12,,
761,1/22/14,M_1_E,14,,
762,1/22/14,M_1_E,34,,
763,1/22/14,M_1_E,48,,
764,1/22/14,M_1_E,51,,
765,1/22/14,M_2,22,,
766,1/22/14,M_2,33,,
767,1/22/14,M_2,50,,
768,1/22/14,M_3,3,,
769,1/22/14,M_3,7,,
770,1/22/14,M_3,13,,
771,1/22/14,M_3,31,,
772,1/22/14,M_3,33,,
773,1/22/14,M_4_C,3,,
774,1/22/14,M_4_C,10,,
775,1/22/14,M_4_C,12,,
776,1/22/14,M_4_C,16,,
777,1/22/14,M_4_C,34,,
778,1/22/14,M_4_N,11,,
779,1/22/14,M_4_N,15,,
780,1/22/14,M_4_N,22,,
781,1/22/14,M_4_N,36,,
782,1/22/14,M_4_N,54,,
783,1/22/14,M_4_S,40,,
784,1/22/14,M_4_S,41,,
785,1/22/14,M_4_S,48,,
786,1/22/14,M_4_S,55,,
787,3/13/14,C_1,12,,
788,3/13/14,C_1,13,,
789,3/13/14,C_1,14,,
790,3/13/14,C_1,33,,
791,3/13/14,C_1,41,,
792,3/13/14,C_2,4,,
793,3/13/14,C_2,27,,
794,3/13/14,C_2,31,,
795,3/13/14,C_2,37,,
796,3/13/14,C_2,44,,
797,3/13/14,M_1_W,10,,
798,3/13/14,M_1_W,27,,
799,3/13/14,M_1_W,31,,
800,3/13/14,M_1_W,32,,
801,3/13/14,M_1_W,48,,
802,3/14/14,C_2,37,,
803,3/14/14,M_1_E,5,,
804,3/14/14,M_1_E,12,,
805,3/14/14,M_1_E,24,,
806,3/14/14,M_1_E,38,,
807,3/14/14,M_1_E,48,,
808,3/14/14,M_4_N,6,,
809,3/14/14,M_4_N,12,,
810,3/14/14,M_4_N,44,,
811,3/14/14,M_4_N,47,,
812,3/14/14,M_4_N,53,,
813,3/14/14,M_5,8,,
814,3/14/14,M_5,27,,
815,3/14/14,M_5,29,,
816,3/14/14,M_5,32,,
817,3/14/14,M_5,40,,
818,3/18/14,M_2,54,,
819,3/18/14,M_3,44,,
820,3/24/14,M_2,13,,
821,3/24/14,M_2,37,,
822,3/24/14,M_2,38,,
823,3/24/14,M_2,46,,
824,3/24/14,M_4_C,1,,
825,3/24/14,M_4_C,14,,
826,3/24/14,M_4_C,16,,
827,3/24/14,M_4_C,24,,
828,3/24/14,M_4_C,35,,
829,3/24/14,M_4_S,8,,
830,3/24/14,M_4_S,13,,
831,3/24/14,M_4_S,15,,
832,3/24/14,M_4_S,32,,
833,3/24/14,M_4_S,42,,
834,5/7/14,M_1_E,4,,
835,5/7/14,M_1_E,6,,
836,5/7/14,M_1_E,26,,
837,5/7/14,M_1_E,29,,
838,5/7/14,M_1_E,55,,
839,5/7/14,M_5,14,,
840,5/7/14,M_5,15,,
841,5/7/14,M_5,31,,
842,5/7/14,M_5,39,,
843,5/7/14,M_5,44,,
844,5/8/14,M_1_W,25,,
